name,game_id,rating,complexity_rating,year_published,min_players,max_players,min_play_time,max_play_time,min_age,owned_by,top_2000
Make It Happen,300729,4.75938,1,2020,2,12,30,30,14,187,0
Valknut,300731,7.42694,1.2857,2020,2,4,10,15,14,347,0
Mini Express,300751,7.3273,2.35,2021,1,5,30,45,8,1948,0
Cross Clues,300753,7.26796,1.0411,2020,2,6,5,10,7,5706,1
Connecting Flights,300757,6.50674,2.5556,2022,1,5,60,150,12,539,0
Quiz Club,300765,7.41314,2,2021,3,8,30,60,12,278,0
New York Zoo,300877,7.12735,1.9605,2020,1,5,30,60,10,14055,1
Star Clicker,300882,7.0653,1.6667,2021,2,4,40,40,8,292,0
Top Ten,300905,7.5179,1.082,2020,4,9,30,30,14,4820,1
Imagine Famille,300908,7.15286,1,2020,3,8,15,30,8,324,0
Schotten Totten 2,300930,7.15908,1.963,2020,2,2,20,20,8,3297,0
Via Magica,300936,6.77114,1.5122,2020,2,6,30,30,7,2117,0
Gates of Mara,300944,7.08046,3.2857,2020,2,4,90,120,14,198,0
¡Extinción!,300993,7.31415,1.4444,2020,2,6,15,15,8,731,0
Dream Runners,301002,6.99322,1.8,2020,2,4,30,40,8,497,0
Piece of Pie,301009,6.6447,1.5,2020,2,4,15,15,8,218,0
Starlink,301011,6.45699,1,2020,3,6,30,30,8,516,0
Meeple Towers,301015,6.97788,2,2020,2,4,45,45,12,163,0
Dragon Parks,301018,6.53079,1.4,2021,2,5,15,30,8,673,0
Museum: Pictura,301019,7.51562,2.6667,2022,2,4,60,60,14,1298,0
The Ming Voyages,301030,7.00854,2.5556,2020,1,2,30,30,12,974,0
The March of Progress,301032,6.59973,2.1667,2020,2,2,30,30,12,560,0
Xtronaut 2.0,301061,6.15,2,2020,2,6,45,75,8,139,0
Polynesia,301084,6.82906,2.3125,2020,2,4,60,75,12,1578,0
Rebis,301085,6.09439,1.6364,2020,1,4,20,20,14,1514,0
Lupos,301099,6.65397,1.5,2020,1,5,30,30,7,248,0
Skyjo Action,301242,6.22658,1.1429,2019,2,8,30,30,8,986,0
Whistle Mountain,301255,7.62642,2.987,2020,2,4,60,90,14,5121,1
Maglev Metro,301257,7.27456,2.7818,2021,1,4,60,90,14,4225,1
Dicycle Race,301262,6.50305,1,2020,2,6,15,20,7,270,0
"Houston, We Have a Dolphin!",301317,6.94886,2.5833,2020,3,5,20,40,12,418,0
Caves of Rwenzori,301366,7.15106,2.5,2021,1,5,45,60,8,125,0
Drawn to Adventure,301441,6.78924,2,2021,1,4,30,90,14,859,0
Latte Throwdown,301541,6.94355,1,2020,2,4,20,20,8,156,0
The Great Crisis of Frederick II,301572,7.7627,2.3333,2020,1,2,120,480,12,333,0
Breakdancing Meeples,301576,7.11441,1,2020,2,4,5,5,8,150,0
KeyForge: Mass Mutation,301607,7.85557,2.8095,2020,2,2,15,45,14,1532,0
ドキッと！アイス (Dokitto! Ice),301614,6.96579,1.5,2020,2,5,15,30,8,179,0
"Hood Strikes North: The Tennessee Campaign, Fall 1864",301616,8.75417,3.5,2021,1,2,120,1920,16,726,0
Out Of This World,301638,6.62418,1.3333,2020,3,5,45,60,8,149,0
Epic Spell Wars of the Battle Wizards: Hijinx at Hell High,301662,6.84632,2,2020,2,6,30,60,0,449,0
DC Deck-Building Game: Dark Nights – Metal,301665,7.88303,2,2020,2,5,45,75,15,1091,0
Glasgow,301716,7.16194,2.0638,2020,2,2,30,30,10,4169,1
Endogenesis (2nd Edition),301728,7.27913,2,2021,1,5,45,120,13,380,0
Mysterium Park,301767,7.10432,1.4697,2020,2,6,30,45,10,9810,1
Raiders of Scythia,301880,7.78803,2.7198,2020,1,4,60,80,12,9182,1
Pandemic: Hot Zone – North America,301919,7.03843,1.8444,2020,2,4,30,30,8,6409,1
Night of the Mummy,301935,7.43966,2,2022,4,8,15,20,10,284,0
Bivouac,301946,7.03126,2.5,2021,2,4,40,90,8,126,0
Bold Made,302014,5.48,1,2020,2,6,10,30,3,156,0
BIRDIE!: The Disc Golf Board Game,302022,6.48163,2.6,2020,2,6,40,90,0,221,0
Reality Shift,302057,6.69212,2,2022,2,4,15,40,14,145,0
Chronicles of Crime: 1900,302098,8.02065,1.7692,2021,1,4,60,90,12,7933,1
Merlin: Big Box,302189,8.1196,3.3636,2020,2,4,75,120,14,1006,0
Wonder Woman: Challenge of the Amazons,302193,7.23058,2.2778,2020,2,5,45,60,10,2015,0
Black Stories: Epic Fails Edition,302207,6.83462,2,2020,2,99,2,222,12,123,0
Sebastian Fitzek Safehouse Würfelspiel,302212,6.45668,1.6,2020,1,4,20,20,12,504,0
Munchkin Tails,302244,6.7663,2,2020,3,6,60,120,10,166,0
Pizza,302255,6.33401,2,2021,2,4,30,30,8,118,0
Abandon All Artichokes,302260,6.638,1.2936,2020,2,4,20,20,10,7510,1
Hi Lo Flip,302267,6.19069,1,2020,2,6,15,15,8,205,0
Godtear: Eternal Glade Starter Set,302268,7.52986,3,2019,2,2,60,120,14,464,0
Godtear: The Borderlands Starter Set,302269,7.6858,3,2019,2,2,60,120,14,467,0
Marshmallow Test,302270,7.02102,1.5,2020,2,5,20,20,10,720,0
Hit List,302279,6.19825,1,2020,4,99,15,15,12,107,0
Shifting Stones,302280,6.48681,1.2286,2020,1,5,20,20,8,2492,0
Candy Lab,302281,6.5524,1.3,2020,2,4,15,15,8,647,0
Nanaki,302310,7.08705,2,2020,1,4,30,45,8,236,0
Chronicles of Crime: 2400,302312,7.77901,2.0909,2021,1,4,60,90,12,7032,0
A Sky of Stars,302316,6.46013,1.5,2019,3,6,10,20,8,171,0
Marvel Villainous: Infinite Power,302336,6.83713,2.6889,2020,2,4,40,80,12,9650,0
