name,game_id,rating,complexity_rating,year_published,min_players,max_players,min_play_time,max_play_time,min_age,owned_by,top_2000
Die Macher,1,7.59717,4.3153,1986,3,5,240,240,14,8015,1
Dragonmaster,2,6.6506,1.9636,1981,3,4,30,30,12,1372,0
Samurai,3,7.46109,2.4768,1998,2,4,30,60,10,16459,1
Tal der Könige,4,6.6191,2.6667,1992,2,4,60,60,12,674,0
Acquire,5,7.33449,2.5,1964,2,6,90,90,12,25476,1
Mare Mediterraneum,6,6.51012,3,1989,2,6,240,240,12,129,0
Cathedral,7,6.53825,1.7872,1978,2,2,20,20,8,6579,0
Lords of Creation,8,6.07014,2.4,1993,2,5,120,120,12,561,0
El Caballero,9,6.44931,3.184,1998,2,4,90,90,13,2719,0
Elfenland,10,6.68403,2.1547,1998,2,6,60,60,10,10911,1
Bohnanza,11,7.04784,1.6696,1997,2,7,45,45,12,68570,1
Ra,12,7.57393,2.3386,1999,2,5,45,60,12,26484,1
CATAN,13,7.10442,2.2991,1995,3,4,60,120,10,195083,1
Basari,14,6.74853,1.8571,1998,3,4,25,25,10,1967,0
Cosmic Encounter,15,6.9218,2.3706,1977,2,6,90,90,12,4429,1
MarraCash,16,6.89904,2.1489,1996,3,4,60,60,12,1297,0
Button Men,17,6.36373,1.52,1999,2,2,5,5,10,1405,0
RoboRally,18,7.06269,2.4291,1994,2,8,45,120,12,27322,1
Wacky Wacky West,19,6.2731,1.8221,1991,2,4,30,45,9,3547,0
Full Metal Planète,20,7.51624,3.1429,1988,2,4,90,90,12,1063,0
Magic Realm,22,7.28288,4.5468,1979,1,16,60,240,12,4071,1
Divine Right,23,7.15386,3.2,1979,2,6,360,360,12,1184,0
Twilight Imperium,24,6.63135,3.4444,1997,2,6,240,240,12,890,0
Battlemist,25,5.91306,3.2,1998,2,6,200,200,12,686,0
Age of Renaissance,26,7.09263,3.8535,1996,3,6,120,300,12,2938,1
Supremacy: The Game of the Superpowers,27,5.67559,3.124,1984,2,6,120,300,12,2419,0
Illuminati,28,6.47361,2.6544,1987,2,6,60,180,12,9320,0
Terrain Vague,29,6.65214,3.25,1993,2,4,120,120,10,222,0
Dark Tower,30,6.87307,1.81,1981,1,4,90,90,10,1866,0
Dark World,31,5.39717,1.9107,1991,2,5,90,90,10,2191,0
Buffalo Chess,32,6.08432,1.6154,1975,2,2,30,30,8,732,0
Arkham Horror,34,6.63747,2.4082,1987,1,8,180,180,12,949,0
Federation & Empire,36,6.41603,4.4032,1986,2,8,300,300,12,1214,0
Dragon Masters,37,5.79539,2.0909,1991,2,4,120,120,12,385,0
Runes,38,6.14951,1.9,1981,2,4,30,30,10,299,0
Darkover,39,5.36773,2.4444,1979,2,4,60,60,12,297,0
Borderlands,40,6.74782,2.7826,1982,2,4,120,120,12,587,0
Can't Stop,41,6.8937,1.1506,1980,2,4,30,30,9,16210,1
Tigris & Euphrates,42,7.70303,3.5016,1997,2,4,90,90,12,30836,1
Airlines,43,6.58095,2.4242,1990,2,6,90,90,12,503,0
David & Goliath,44,6.47852,1.6222,1997,3,6,60,60,8,2000,0
Medici,46,7.1651,2.2492,1995,2,6,60,60,10,8581,1
Chinatown,47,7.41984,2.25,1999,3,5,60,60,12,13768,1
Krieg und Frieden,48,6.09022,2.4638,1999,2,4,90,90,12,1507,0
Mamma Mia!,49,6.47194,1.3653,1998,2,5,30,30,10,8345,1
Lost Cities,50,7.22539,1.481,1999,2,2,30,30,10,63895,1
Ricochet Robots,51,7.02312,2.3852,1999,1,99,30,30,10,9462,1
Mighty Empires,52,6.17571,2.6087,1990,2,3,300,300,14,985,0
Tikal,54,7.32847,2.7836,1999,2,4,90,90,10,26412,1
Sophie's World,55,4.86562,1.5,1998,2,6,60,90,12,291,0
Schoko & Co.,57,6.65883,2.9216,1987,2,4,180,180,13,908,0
Kings & Things,58,6.51984,2.6481,1986,2,4,60,180,12,3515,0
Giganten,59,6.70029,2.5693,1999,3,4,90,90,10,2008,0
Vinci,60,7.06829,2.7823,1999,3,6,120,120,14,3835,1
Fossil,61,5.42907,1.75,1998,2,6,40,40,10,999,0
Curse of the Mummy's Tomb,62,5.31847,1.8462,1988,1,4,120,120,12,671,0
Samurai: Game of Politics and Warfare in Feudal Japan,63,6.44824,2.6296,1979,2,8,180,180,12,1220,0
Joan of Arc,64,6.25704,2.5424,1998,3,6,180,180,12,781,0
Löwenherz,66,7.03692,2.8986,1997,2,4,90,90,12,3781,1
Conquest,67,6.38845,2.4848,1974,2,4,120,120,10,871,0
Successors (First/Second Edition),68,7.0382,3.2206,1997,2,4,180,180,12,909,0
Bollox,69,6.71458,2.4,1999,2,2,20,20,10,113,0
Big City,70,6.85788,2.2154,1999,2,5,60,60,10,2663,1
Civilization,71,7.49614,3.6477,1980,2,7,360,360,12,10910,1
Verräter,72,6.6805,2.5676,1998,3,4,60,60,12,4304,0
Show Manager,73,6.98932,2.0938,1996,2,6,60,60,10,2016,1
Apples to Apples,74,5.75848,1.1562,1999,4,10,30,30,12,28778,0
Falling,75,5.4964,1.218,1998,4,8,5,5,8,2469,0
Air Baron,76,6.40902,2.5484,1996,2,6,120,120,10,1024,0
EastFront,77,7.68187,3.6,1991,2,2,240,240,12,1151,0
"WestFront: The War in Europe, 1943-45",78,6.84381,3.4706,1992,2,2,240,240,12,578,0
MedFront: War in North Africa 1940-43,79,6.32969,3.0769,1994,2,2,180,180,12,419,0
Bobby Lee: The Civil War in Virginia 1861-1865,82,6.75569,2.9216,1993,2,2,240,240,12,962,0
Sam Grant: The Civil War in the West 1862-1864,83,6.41197,2.8519,1997,2,2,180,180,12,477,0
Rommel in the Desert,84,7.53704,3.4,1982,2,2,150,150,12,2302,1
Quebec 1759,85,6.94202,2.1512,1972,2,2,60,60,12,1317,0
Victory: World War II,87,6.36528,2.5962,1998,2,4,120,120,12,840,0
Torres,88,7.0933,2.8599,1999,2,4,60,60,10,13670,1
Blue vs. Gray,89,6.75338,2.8154,1999,2,4,120,120,12,1152,0
Star Wars: Episode 1 – Clash of the Lightsabers,90,6.20777,1.4262,1999,2,2,20,20,8,1101,0
Paths of Glory,91,8.05485,3.8512,1999,2,2,480,480,14,9730,1
El Grande,93,7.73369,3.0364,1995,2,5,60,120,12,25263,1
Union Pacific,94,7.1954,2.5449,1999,2,6,90,90,12,4545,1
Igel Ärgern,95,6.40816,1.376,1990,2,6,30,30,8,1185,0
Broadsides & Boarding Parties,96,6.20877,1.8333,1982,2,2,60,60,10,1103,0
Conquest of the Empire,97,6.28775,2.5244,1984,2,6,180,240,10,1878,0
Axis & Allies,98,6.56996,3.0386,1981,2,5,180,180,12,15752,1
Fortress America,99,6.71784,2.6382,1986,2,4,180,180,12,4053,0
Detroit-Cleveland Grand Prix,101,6.78034,1.708,1996,2,6,60,60,8,1395,0
Klunker,102,6.19827,1.7674,1999,3,5,30,30,10,1481,0
Titan,103,6.96407,3.4603,1980,2,6,30,240,12,5786,1
Extrablatt,104,7.00135,2.9,1991,3,4,90,90,14,365,0
Colossal Arena,105,6.76691,2.0203,1997,2,5,40,60,8,8805,1
Mystery Rummy: Jack the Ripper,106,6.94814,1.7483,1998,2,4,45,45,10,6076,1
TAMSK,108,6.76266,2.2866,1998,2,2,20,20,8,2122,0
Wettstreit der Baumeister,109,6.08512,2,1994,3,4,45,45,10,761,0
Auf Achse,110,6.23393,1.96,1987,2,6,60,60,8,3091,0
Rheinländer,111,6.64373,2.4233,1999,3,5,45,45,12,2243,0
Condottiere,112,6.87562,1.9599,1995,2,6,20,45,10,12873,1
"Plotters, Inc.",113,6.72564,1.8636,1999,4,6,60,60,10,550,0
Ransom,114,6.33625,1.625,1994,2,6,45,45,12,141,0
I'm the Boss!,115,6.77288,1.9684,1994,3,6,60,60,12,4330,1
Guillotine,116,6.53751,1.2672,1998,2,5,30,30,12,31506,1
Ta Yü,117,6.94963,2.0671,1999,2,4,30,45,10,2085,0
Modern Art,118,7.48791,2.2888,1992,3,5,45,45,10,27103,1
Kingdoms,119,6.6566,1.8385,1994,2,4,45,45,9,6435,1
Hoity Toity,120,6.51488,1.8657,1990,2,5,45,45,12,8195,1
Dune,121,7.59468,3.4431,1979,2,6,60,180,12,6688,1
Quo Vadis?,122,6.47212,2.0808,1992,3,5,45,45,12,2974,0
Primordial Soup,124,6.92666,2.7321,1997,3,4,90,90,12,5580,1
Money!,125,6.53543,1.5442,1999,3,5,30,30,10,3960,0
The Really Nasty Horse Racing Game,126,6.27483,1.6667,1989,2,6,90,90,12,1325,0
Princess Ryan's Star Marines,127,5.40737,2.44,1997,1,6,120,120,10,549,0
Take it Easy!,128,6.60287,1.482,1983,1,8,20,20,10,4344,0
Iron Dragon,130,7.01775,2.9329,1994,2,6,240,240,12,2574,0
Caesar & Cleopatra,132,6.39852,1.9106,1997,2,2,60,60,10,7727,0
Frischfleisch,133,6.13096,2.5455,1999,2,6,120,120,18,252,0
Cape Horn,134,5.98695,2.0227,1999,3,5,45,60,12,1009,0
Kontor,135,5.95661,2.2025,1999,2,4,60,60,12,1716,0
Robin Hood,136,5.42824,1.6,1999,3,6,30,30,8,241,0
Pass the Bomb,137,5.82701,1.3034,1994,2,10,20,20,12,2981,0
Hoax,139,5.94515,1.3529,1981,3,12,45,45,10,422,0
Pit,140,6.38124,1.1561,1903,3,8,30,90,7,16995,1
Andromeda,141,6.38622,2.2266,1999,3,5,60,60,10,1914,0
Vino,142,6.43957,2.9846,1999,3,5,90,90,12,921,0
Elfenwizards,144,6.199,2.3,1995,3,6,90,90,10,268,0
Metropolis,145,6.3532,2.2353,1984,2,5,90,90,16,745,0
Buy Low Sell High,146,6.12322,1.9907,1996,2,4,60,60,12,1202,0
Crude: The Oil Game,147,6.69884,2.7451,1974,2,4,90,90,13,1959,0
Die Glücksritter,148,5.69927,1.7273,1999,3,6,60,60,8,206,0
PitchCar,150,7.2617,1.1269,1995,2,8,30,30,6,11594,1
Piratenbillard,151,6.55861,1.2414,1959,2,4,15,15,8,315,0
Mü & More,152,7.14956,2.5514,1995,2,8,60,60,11,3113,1
Take 5!,153,6.54561,1.4643,1998,2,6,60,60,10,4723,0
Union vs. Central,154,6.81182,3.75,1999,2,2,360,360,12,216,0
Was sticht?,155,6.9709,2.3966,1993,3,4,60,60,12,974,0
Wildlife Adventure,156,6.80767,1.8814,1985,2,6,60,60,10,933,0
Eurorails,157,7.0982,2.7432,1990,2,6,180,240,10,2724,1
The Awful Green Things From Outer Space,162,6.54446,1.8772,1979,2,2,60,90,12,4785,0
Balderdash,163,6.46453,1.4095,1984,2,6,60,60,12,10958,0
"Before I Kill You, Mister Spy...",164,5.43985,1.265,1996,2,6,30,30,12,2511,0
Black Box,165,6.39308,2.0658,1977,1,2,20,20,10,1676,0
Black Death,166,5.7446,1.85,1993,2,6,120,120,0,273,0
Dicke Kartoffeln,167,6.19939,3.3125,1989,2,6,120,120,12,376,0
Empire Builder,168,6.95373,2.6305,1982,2,6,180,180,12,4417,1
En Garde,169,6.50028,1.3937,1993,2,2,20,30,8,2202,0
Family Business,170,6.07521,1.3211,1982,2,6,30,30,8,6504,0
For Sale,172,7.24843,1.2536,1997,3,6,30,30,10,36090,1
Formula Dé,173,6.99461,1.959,1997,2,10,120,120,10,8290,1
T-Rex,174,5.49191,1.9091,1999,3,5,45,45,10,654,0
What the Heck?,175,6.462,1.169,1988,2,5,20,20,7,3999,0
Give Me the Brain!,176,5.83369,1.2743,1996,3,8,15,15,10,3708,0
Mole Hill,178,5.9875,1.7188,1997,2,2,15,15,8,367,0
Nuba,179,6.173,2,1995,2,2,10,10,12,123,0
Pool Position,180,5.74029,1.7273,1999,2,5,30,30,10,264,0
Risk,181,5.59179,2.0703,1959,2,6,120,120,10,56845,0
Knights of Charlemagne,182,6.37835,1.4239,1995,2,4,30,30,8,1050,0
Stonehenge,183,6.28201,1.8571,1994,2,2,15,15,10,310,0
Devil Bunny Needs a Ham,185,5.40677,1.1757,1998,2,5,30,30,8,1327,0
Split,186,5.91498,1.1333,1999,2,6,30,30,12,565,0
Die Siedler von Nürnberg,189,6.9107,2.7792,1999,3,4,90,90,10,1885,0
Dolce Vita,190,6.133,1.6875,1999,3,5,30,30,10,390,0
Nicht die Bohne!,192,6.32288,1.3486,1999,3,6,45,45,10,1328,0
Fill or Bust,193,5.75596,1.1556,1981,2,10,30,30,8,1460,0
Groo: The Game,194,6.28644,1.5,1997,2,4,45,45,10,1174,0
NASCAR Champions,195,5.46934,1.1,1998,2,5,30,30,8,226,0
Kremlin,196,6.97472,2.8476,1986,3,6,75,75,12,4141,1
HellRail: Second Perdition,197,6.04262,2,1999,3,4,75,75,13,146,0
Buried Treasure,198,6.03943,1.5714,1992,2,4,30,30,10,433,0
Manhattan,199,6.7297,1.9231,1994,2,4,45,45,10,7898,1
Entdecker,200,6.42773,2.2484,1996,2,4,60,60,10,2540,0
The Rose King,201,6.80939,1.9372,1992,2,4,30,30,10,5794,1
Targui,202,6.39551,2.3833,1988,2,4,120,120,12,1681,0
Stephenson's Rocket,204,6.92054,3.0581,1999,2,4,60,60,12,4645,1
Jalape-NO!,206,6.09288,1.4118,1998,3,9,45,45,10,397,0
Twitch,207,6.07596,1.1667,1998,3,6,15,15,10,392,0
Ex & Hopp,208,5.44571,1.1667,1996,2,6,30,30,10,158,0
Don Pepe,210,6.2402,1.3,1999,3,6,30,30,8,1030,0
Times to Remember,211,6.29083,1.1333,1992,2,10,45,45,10,489,0
Café International,214,6.21827,1.6512,1989,2,4,45,60,10,4220,0
Tichu,215,7.5773,2.3372,1991,4,4,60,60,10,23626,1
Atlanteon,216,5.79407,2.026,1992,2,2,30,30,12,1426,0
A la carte,217,6.46184,1.2992,1989,2,4,30,30,8,4550,0
High-Bid,218,5.86951,1.8182,1963,2,4,25,25,12,1238,0
Volle Hütte,219,6.14215,2.0909,1997,3,5,30,30,12,261,0
High Society,220,7.1463,1.4822,1995,3,5,15,30,10,18050,1
Ikusa,221,7.02712,2.9516,1986,2,5,240,360,12,8816,1
Space Beans,222,6.08295,1.3866,1999,2,6,40,40,10,2685,0
Expedition,223,6.79287,1.9764,1996,2,6,90,90,10,1468,0
History of the World,224,7.11691,2.7661,1991,3,6,135,270,12,5731,1
Icehouse,225,6.62962,2.5957,1989,3,5,20,20,8,1307,0
Lunch Money,228,5.6322,1.5123,1996,2,4,20,20,13,4548,0
King of the Elves,229,6.19108,2.0242,1999,2,6,60,60,10,2531,0
Merchant of Venus,230,7.14378,2.8357,1988,1,6,180,180,12,3464,1
Geronimo,231,5.74342,3.1935,1995,1,5,480,480,12,806,0
Serenissima,232,6.85914,3.0389,1996,2,4,120,120,12,3189,1
Hannibal: Rome vs. Carthage,234,7.78049,3.4538,1996,2,2,40,200,12,7396,1
Blackbeard,235,6.36939,3.216,1991,1,4,120,240,12,3064,0
Wooden Ships & Iron Men,237,7.06948,3.1025,1974,2,2,60,300,12,4324,1
"Wagram: The Peace of Vienna, 5-6 July 1809",239,6.7536,2.125,1975,1,2,90,90,12,224,0
Britannia,240,7.19075,3.1604,1986,3,5,180,300,12,6040,1
Age of Exploration,241,6.04241,2.85,1994,1,6,180,180,14,505,0
Junta,242,6.69165,2.8611,1978,2,7,240,240,16,9390,1
Advanced Squad Leader,243,8.00092,4.7368,1985,2,2,120,480,14,6284,1
Circus Maximus,244,6.77255,2.6205,1979,2,10,120,120,12,3069,0
Gloria Picktoria,247,6.34798,1.4815,1996,2,5,45,45,10,2123,0
Blood Royale,248,6.53929,3.3231,1987,3,5,240,240,12,1240,0
Lifeboats,249,6.57713,1.7842,1993,3,6,90,90,12,3833,1
Colonial Diplomacy,250,6.63144,2.8,1994,2,7,360,360,12,729,0
The Battle of Borodino: Napoleon in Russia 1812,252,6.72421,2.0345,1972,2,2,180,180,12,455,0
Empires in Arms,254,7.61105,4.4057,1983,2,7,120,12000,14,2282,1
"Jena-Auerstadt: The Battle for Prussia, 14 October 1806",255,6.02055,2.1,1975,2,2,150,150,12,201,0
Mississippi Queen,256,6.31864,1.6937,1997,3,5,45,45,10,6283,0
Kill Doctor Lucky,257,6.15028,1.6437,1996,3,8,45,45,12,12187,0
Fluxx,258,5.6698,1.3888,1997,2,6,5,30,8,30079,0
Atlantic Storm,259,6.54341,2.0526,1997,2,6,60,60,10,716,0
Starship Troopers: Prepare For Battle!,260,5.83606,2.0435,1997,2,4,45,60,10,439,0
Olympia 2000 (v. Chr.),261,6.0767,1.3846,1994,2,5,30,30,9,451,0
Manitou,263,6.08624,1.9655,1997,2,4,45,45,12,769,0
Enemy in Sight,264,6.24658,1.7105,1988,2,8,120,120,10,1321,0
Intrigue,265,6.36397,1.9359,1994,3,5,45,45,14,4070,0
Tycoon,267,6.74903,2.6375,1998,2,4,90,90,10,1091,0
Cheops,268,6.18412,2.16,1998,2,5,45,45,9,441,0
Svea Rike,270,6.37417,2.4419,1996,2,5,90,120,12,946,0
It's Mine!,271,5.90478,1.0727,1998,3,5,30,30,7,612,0
Downtown,272,6.33129,2.2353,1996,3,6,60,60,12,277,0
Africa 1880,273,5.7175,2.625,1997,3,6,120,120,14,377,0
Guerilla,274,6.2654,2.641,1994,3,6,60,120,12,854,0
Extinction,275,4.9913,1.4,1993,2,6,60,60,12,105,0
"La Guerre de l'Empereur: The Emperor's War, 1805-1815",276,6.41549,3.3846,1997,2,7,240,240,12,239,0
Res Publica,277,5.91519,1.7059,1991,3,5,30,60,10,1894,0
Catan Card Game,278,6.70464,2.4407,1996,2,2,60,120,10,24487,1
The Very Clever Pipe Game,279,6.22828,1.5926,1996,2,4,20,20,10,1405,0
Neue Spiele im alten Rom,280,6.80876,2.2857,1994,2,7,20,60,10,550,0
Ostindiska kompaniet,281,4.68421,2.5,1991,2,5,120,120,10,259,0
Vikingatid,282,5.98057,3.3,1997,2,6,300,300,12,137,0
Advanced Third Reich,283,6.89149,4.5366,1992,1,6,180,1200,18,1668,0
Lords of the Sierra Madre (Second Edition),284,6.38903,3.4783,1995,2,8,240,240,14,642,0
Monsters Ravage America,285,5.85664,2.1905,1998,1,4,90,90,10,528,0
Machiavelli,286,7.09673,3.1963,1977,4,8,480,480,12,2239,0
Bazaar,287,6.52028,2.0278,1967,2,6,45,45,8,2927,0
Rossyïa 1917,288,7.27493,4,1995,2,5,300,300,0,248,0
Chariot Lords,289,6.67184,2.75,1999,3,4,360,360,12,504,0
Gold Digger,290,5.71645,1.1882,1990,2,5,20,20,7,1220,0
Courtisans of Versailles,291,5.75757,1.8182,1988,3,8,120,120,8,384,0
Attacke,292,5.72625,1.4615,1993,3,5,30,30,8,310,0
Bamboleo,293,6.32752,1.2371,1996,2,7,30,30,6,1506,0
Keydom,294,6.84595,2.6667,1998,2,5,90,90,10,172,0
Europa 1945-2030,295,5.98151,2.6279,1998,3,6,120,120,12,568,0
Medieval Merchant,296,6.72166,3.093,1998,2,6,60,90,12,1662,0
Stadens nyckel,297,5.26734,2.3,1998,3,6,120,120,9,235,0
Lang lebe der König!,298,5.1968,2,1997,3,5,60,60,10,242,0
De Bellis Antiquitatis: Quick Play Wargame Rules with Army Lists for Ancient and Medieval Battles,299,7.29549,2.8,1990,2,6,60,300,14,1114,0
Tutankhamen,300,6.11748,1.5839,1993,2,6,30,30,8,1809,0
Campanile,301,6.15784,1.6765,1996,2,5,30,30,10,676,0
Forum Romanum,302,6.74136,2.3429,1988,2,6,45,45,10,747,0
Koalition,303,6.46732,2.2941,1992,4,10,90,90,12,452,0
Evergreen,304,5.52462,1.8571,1999,2,6,20,30,12,690,0
Der Fliegende Holländer,305,6.03714,2.4762,1992,3,6,60,60,12,758,0
Candidate,307,5.58992,1.9444,1991,2,6,90,90,10,329,0
Santa Fe,308,6.95357,2.2143,1992,2,5,70,70,10,305,0
Arabana-Ikibiti,309,6.17077,1.8889,1997,2,2,20,20,8,126,0
Wizard's Quest,310,6.212,2.25,1979,2,6,180,180,12,3656,0
Time Agent,311,6.64051,3.4583,1992,2,6,180,360,12,671,0
Landlord!,312,5.92663,1.5098,1992,2,6,10,10,10,1709,0
Big Boss,313,7.16669,2.3929,1994,2,6,90,90,10,603,0
Highlanders,314,6.19353,2.0526,1993,3,5,90,90,12,405,0
Chase,316,6.81573,2.6579,1985,2,2,45,45,10,571,0
The Mob,317,6.44498,1.88,1993,3,6,60,60,12,441,0
Top It,319,5.67678,1.6667,1997,2,4,20,20,10,132,0
Scrabble,320,6.26737,2.0692,1948,2,4,90,90,10,59340,0
The Mole in the Hole,321,6.27746,1.2809,1995,2,4,30,30,8,1842,0
Tonga Bonga,322,6.42504,1.6818,1998,3,4,45,45,10,677,0
Anno 1452,323,6.02552,2.9375,1999,2,4,90,90,12,489,0
Ponte Vecchio,324,5.8017,2.25,1996,3,5,90,90,12,191,0
Loopin' Louie,327,6.74746,1.0522,1992,2,4,10,10,4,11870,1
Russian Front,329,7.25521,3.3093,1985,2,2,480,1200,12,1624,0
Block Mania,330,6.51546,2.7297,1987,2,2,120,180,14,985,0
Vernissage,332,6.29373,2.7368,1993,3,5,60,60,12,347,0
Waterworks,333,5.52736,1.2073,1972,2,5,30,30,8,4764,0
Advance to Boardwalk,334,5.40905,1.5429,1985,2,4,60,60,8,1973,0
Breakthru,335,5.83753,2,1965,2,2,15,15,10,1365,0
Jumpin,336,5.50119,1.5909,1964,2,2,15,15,8,837,0
Circus Flohcati,337,6.63128,1.2222,1998,2,5,15,15,6,3939,0
Bargain Hunter,338,6.69728,1.8657,1998,3,4,45,45,10,1855,0
Quiddler,339,6.11849,1.4234,1998,1,8,30,30,8,8413,0
Frank's Zoo,340,6.61031,1.5217,1999,3,7,60,60,10,5523,1
Hong Kong,342,5.92048,2.1111,1999,2,2,15,15,8,143,0
Twins,343,6.19865,1.25,1996,3,6,30,30,8,530,0
Classic Art,344,6.54903,2,1996,3,5,30,60,10,881,0
Prairie Railroads,345,6.94898,3,1999,3,5,120,120,12,123,0
Fishy,347,5.65662,1.2,1991,3,6,30,30,10,189,0
Merchants of the Middle Ages,348,6.73058,3.0132,1999,2,4,120,120,10,2463,0
Halunken & Spelunken,349,5.60061,1.5,1997,3,4,30,30,10,635,0
Hattrick,350,6.49285,1.5652,1995,4,6,30,30,10,531,0
Trumpet,352,6.19746,1.4426,1990,2,6,45,45,9,1128,0
Inkognito: The Card Game,353,5.43975,1.6471,1997,3,5,20,30,11,1653,0
Stick 'Em,354,7.04559,1.9094,1993,3,8,30,60,10,5208,1
Das letzte Paradies,355,5.88309,1.8261,1993,3,5,30,30,12,371,0
Ab die Post!,356,5.31185,1.3158,1996,3,6,45,45,8,305,0
Excape,357,6.44466,1.135,1998,2,6,30,30,8,1981,0
Bucket Brigade,359,6.04331,1.2712,1998,3,5,30,30,7,904,0
Quests of the Round Table,360,5.43716,1.8667,1995,2,4,60,60,10,814,0
Hare & Tortoise,361,6.62608,1.9316,1973,2,6,45,45,8,7140,1
Elefantenparade,362,5.78515,1.3333,1988,2,4,20,20,12,400,0
Cat Blues,363,6.02047,1.4366,1998,2,6,30,30,10,1153,0
Samarkand,364,6.40599,1.9494,1980,2,5,40,40,9,1045,0
Tricks,365,5.58887,1.375,1995,3,5,30,30,10,230,0
Viva Pamplona!,366,6.36034,1.38,1992,2,6,45,45,8,364,0
Overthrone,367,5.34201,2.1304,1999,3,6,90,90,12,937,0
Relationship Tightrope,368,6.16203,1.3382,1999,3,5,30,30,8,1591,0
5ive Straight,369,6.2798,1.6774,1958,2,9,20,20,7,527,0
Mystery Rummy: Murders in the Rue Morgue,371,6.73916,1.7067,1999,2,4,20,40,8,1831,0
Schotten Totten,372,7.35192,1.7044,1999,2,2,20,20,8,18313,1
Colorado County,374,6.17198,2.4706,1998,2,4,60,60,10,396,0
6 Billion,375,5.3283,2.7059,1999,2,5,120,120,12,282,0
DruidenWalzer,376,5.88289,2.3902,1999,2,2,45,45,12,1407,0
Lancashire Railways,378,6.89224,3.1429,1998,3,6,120,120,12,282,0
Express,379,6.20752,1.6757,1990,2,6,60,60,8,1251,0
Polarity,380,6.34722,1.6814,1986,2,4,20,20,8,2433,0
X Pasch,381,6.19811,2.5,1996,3,6,90,90,8,216,0
Heimlich & Co.,382,6.44981,1.4852,1984,2,7,30,30,8,6057,0
Turf Horse Racing,383,6.4246,1.8,1995,3,6,60,60,10,151,0
TurfMaster,384,7.24279,1.9583,1998,2,8,75,75,10,914,0
Pirateer,386,5.54345,1.4681,1978,2,4,15,15,8,2302,0
Corruption,387,5.80033,1.8276,2000,3,7,45,45,10,713,0
Finale,388,5.72769,1.8611,1998,2,2,30,30,12,584,0
Die Mauer,389,6.0515,1.2917,1997,3,6,30,30,8,419,0
Ocean,391,4.8,1,1999,2,6,20,20,8,224,0
Brawl,392,6.35971,1.3694,1999,2,7,15,15,10,2549,0
Dinosaurs of the Lost World,393,6.65461,1.8913,1987,1,4,90,90,8,720,0
Kahuna,394,6.61156,2.0524,1998,2,2,30,40,10,13617,1
Der dreizehnte Holzwurm,396,6.01471,1.2308,1998,2,6,45,45,8,199,0
Diskwars,397,5.95603,2.3958,1999,2,8,90,90,10,1061,0
Wildlife Safari,398,6.69317,1.2918,1994,2,5,20,30,7,3875,1
Tom Clancy's Politika,399,4.24895,2.7,1997,2,8,90,90,12,494,0
Shanghai,400,5.326,1.7273,1997,3,6,30,30,12,300,0
Gold Connection,401,6.45185,1.8261,1992,2,4,60,60,10,326,0
Elk Fest,403,6.16185,1.0492,1999,2,2,15,15,8,2369,0
Worm Up!,404,5.86982,1.0964,1994,3,5,15,20,7,1573,0
Meteo,406,5.52477,2.1818,1989,2,4,90,90,10,274,0
Zoon,408,5.49267,1.5517,1999,2,2,30,30,8,1027,0
Dschungel,409,4.82576,1.6,1999,2,4,30,30,10,249,0
D'raf,410,5.95932,1.75,1997,3,5,45,45,11,163,0
Die Erben von Hoax,413,6.04583,2.1538,1999,3,8,45,45,12,285,0
Around the World in 80 Days,414,6.02686,1.6538,1986,2,6,60,60,10,621,0
A to Z,416,6.12457,1.5,1992,2,4,30,30,9,490,0
Edison & Co.,417,4.48844,2,1998,2,4,30,60,12,718,0
Rail Baron,420,6.61065,2.2663,1977,3,6,240,240,10,2755,0
1830: Railways & Robber Barons,421,7.86505,4.1606,1986,2,7,180,360,14,8441,1
1835,422,7.03356,3.9896,1990,3,7,360,360,16,1367,0
1856: Railroading in Upper Canada from 1856,423,7.50175,4.2573,1995,3,6,300,300,14,1768,1
1870: Railroading Across the Trans Mississippi from 1870,424,7.44775,4.189,1992,2,6,360,360,14,1518,0
Thunder's Edge,425,6.13516,3.125,1999,3,5,180,300,12,390,0
The Battle of the Bulge,426,6.62975,2.8776,1981,2,2,120,120,12,1005,0
Grass,427,5.99233,1.5439,1980,2,6,60,60,18,2158,0
Galopp Royal,428,5.90788,1.6667,1995,3,6,45,45,9,400,0
Magalon,429,5.89197,1.9,1998,2,4,60,60,12,540,0
Asterix: Das Kartenspiel,430,5.9811,1.1333,1990,2,5,30,30,8,305,0
Alhambra: The Card Game,431,6.4361,1.7143,1992,2,6,45,45,10,2638,0
Take 5,432,6.95689,1.1952,1994,2,10,45,45,8,40117,1
Shark,433,6.61498,2.2025,1987,2,6,90,90,12,2032,0
Yucata',434,5.77338,1.7115,1996,2,4,30,30,9,583,0
Canyon,436,6.24714,1.5753,1997,3,6,45,45,10,1049,0
Master Labyrinth,437,6.28727,1.7817,1991,2,4,20,30,10,5321,0
Scotland Yard,438,6.50622,1.9551,1983,2,6,45,45,10,27879,1
Zoff in Buffalo,440,6.36924,2.0323,1998,2,5,45,45,12,336,0
Filthy Rich,441,6.39549,1.9,1998,2,5,60,60,14,1101,0
Um Reifenbreite,442,6.79362,1.964,1979,2,4,60,90,8,3980,1
Code 777,443,6.7277,2.322,1985,2,5,60,60,10,2731,0
