BGGId,Name,YearPublished,Complexity,ComplexityCategory,AvgRating,MinPlayers,MaxPlayers,NumOwned,MfgPlaytime,ComMinPlaytime,ComMaxPlaytime,MfgAgeRec,NumUserRatings,TotalMechanics,boardgamerank,strategygamesrank,abstractsrank,familygamesrank,thematicrank,cgsrank,wargamesrank,partygamesrank,childrensgamesrank,Cat:Thematic,Cat:Strategy,Cat:War,Cat:Family,Cat:CGS,Cat:Abstract,Cat:Party,Cat:Childrens
27965,"The Tide at Sunrise: The Russo-Japanese War, 1904-1905",2010,2.4194,Average complexity,6.91398,2,2,805,240,240,240,12,236,4,5453,21926,21926,21926,21926,21926,698,21926,21926,0,0,1,0,0,0,0,0
48,Krieg und Frieden,1999,2.4638,Average complexity,6.09125,2,4,1447,90,90,90,12,716,1,5454,1760,21926,21926,21926,21926,21926,21926,21926,0,1,0,0,0,0,0,0
5614,Achtung: Spitfire!,1995,4.0588,High complexity,7.36967,1,10,609,240,240,240,12,211,8,5455,21926,21926,21926,21926,21926,606,21926,21926,0,0,1,0,0,0,0,0
623,Swashbuckler: A Game of Swordplay and Derring-do,1980,2.4545,Average complexity,6.95812,2,6,539,90,90,90,12,250,3,5456,1808,21926,21926,768,21926,812,21926,21926,1,1,1,0,0,0,0,0
254017,Lindisfarne,2018,2.2963,Average complexity,7.00518,2,4,382,45,30,45,10,222,3,5457,21926,21926,21926,21926,21926,21926,21926,21926,0,0,0,0,0,0,0,0
122943,Scripts and Scribes: The Dice Game,2012,1.5938,Low complexity,6.55994,2,5,507,30,30,30,10,332,5,5458,21926,21926,21926,21926,21926,21926,21926,21926,0,0,0,0,0,0,0,0
282493,TINYforming Mars,2019,2.4444,Average complexity,7.01554,1,2,666,45,30,45,10,247,3,5459,21926,21926,21926,21926,21926,21926,21926,21926,0,0,0,0,0,0,0,0
286830,Tajuto,2019,2.0769,Average complexity,6.69197,2,4,640,60,45,60,10,318,3,5460,21926,21926,1349,21926,21926,21926,21926,21926,0,0,0,1,0,0,0,0
318474,Who Goes There? 2nd Edition,2021,3,High complexity,8.13433,3,6,677,110,110,110,14,134,5,5461,21926,21926,21926,21926,21926,21926,21926,21926,0,0,0,0,0,0,0,0
181236,Bastion,2015,2.4231,Average complexity,6.65332,1,4,916,90,45,90,10,358,5,5462,21926,21926,21926,21926,21926,21926,21926,21926,0,0,0,0,0,0,0,0
228570,Raging Bulls,2017,1.1429,Low complexity,6.59602,1,1,397,30,20,30,8,339,5,5463,21926,275,1378,21926,21926,21926,21926,21926,0,0,0,1,0,1,0,0
172073,MammuZ,2013,1.2273,Low complexity,6.31332,3,7,806,20,20,20,7,482,3,5464,21926,21926,21926,21926,21926,21926,334,21926,0,0,0,0,0,0,1,0
18794,SuperGang,1985,2.8667,Average complexity,7.08706,3,5,409,120,120,120,10,211,3,5465,21926,21926,21926,21926,21926,21926,21926,21926,0,0,0,0,0,0,0,0
98443,Dark Horse,2012,2.6667,Average complexity,6.73,1,4,526,90,90,90,10,285,4,5466,1738,21926,21926,21926,21926,21926,21926,21926,0,1,0,0,0,0,0,0
214989,Age of Towers,2018,2,Average complexity,6.56727,1,4,991,75,45,75,14,370,5,5467,21926,21926,21926,21926,21926,21926,21926,21926,0,0,0,0,0,0,0,0
